Order ID,Order Date,Order Mode,Customer ID,City,Postal Code,Country,Region,Product ID,Product Name,Category,Sub-Category,Sales,Cost Price,Quantity,Discount
BTC-245712,6/22/2024,Online,LO028977,Norton,S8,England,,01JZ3N512GHNAJSF3HCCQ0PQYY,Flavored Popcorn Mix,Food - Snacks,Gourmet Snacks,2.99,0.897,4,0.24
NZR-891212,3/15/2024,In-Store,OH046670,West End,DN36,England,East of England,01JZ3N56DDVK7Y600QGH2M6T1X,Olive Oil,Food - Condiments,Cooking Oils,7.99,2.397,16,0.32
TDN-811093,2/29/2024,Online,FH015492,Newtown,RG20,England,East Midlands,01JZ3N53A64TW72TVK28SMMXKX,Children's Backpack,Accessories,Kids' Bags,29.99,8.997,2,0.09
MIX-746378,10/25/2024,In-Store,ZZ015342,East End,BH21,England,North West,01JZ3N572S4RVA29Y33YRWH174,Honey Butter Popcorn,Food - Snacks,Gourmet Snacks,2.99,0.897,4,0.01
UGI-201465,8/18/2024,Online,TV075977,Seaton,LE15,England,East Midlands,01JZ3N52RT7CJNB27BFS6H8BF7,Sliced Cucumbers,Food - Produce,Fresh Cut Vegetables,1.29,0.387,11,0.34
YVL-326274,12/19/2024,In-Store,HL006234,Craigavon,BT66,Northern Ireland,,01JZ3N52MN6K6ZBMB2S60Y6661,Roasted Garlic Pasta Sauce,Food - Sauces,Pasta Sauces,4.99,1.497,2,0.36
NAD-339602,2/18/2024,Online,AA070185,Norton,S8,England,West Midlands,01JZ3N53JE4J6GB3N22CPWCHED,Turkey Bacon,Food - Meat,Processed Meats,3.99,1.197,11,0.21
YEK-987428,2/7/2024,In-Store,EG051605,London,WC1B,England,,01JZ3N52GWPC8JADTNSYW3Q2KW,Freestanding Wine Rack,Home,Home Organization,79.99,23.997,11,
RWT-872441,6/18/2024,Online,UF034417,Kinloch,PH43,Scotland,,01JZ3N50NQCRTY15T5KFHYD594,Berries Medley,Food - Produce,Fresh Fruits,6.99,2.097,11,0.24
CPI-519592,1/23/2024,In-Store,CG060898,Halton,LS9,England,,01JZ3N51V0YYJTCZB369CA5D23,Artisan Cornbread Mix,Food - Baking,Mixes,2.49,0.747,2,0.08
VYN-298760,9/18/2024,Online,EE025228,Manchester,M14,England,East Midlands,01JZ3N5652QADWPPWJ0PWG860E,Thai Peanut Dressing,Food - Condiments,Dressing,3.29,0.987,3,0.17
TTI-504490,4/27/2024,In-Store,CX034161,Thorpe,BD23,England,,01JZ3N52VR1TCRNXP4VRZN956S,Coconut Lime Rice,Food - Sides,Grains,2.99,0.897,20,0.03
MQD-548505,11/4/2024,Online,LT073005,London,W1F,,West Midlands,01JZ3N51PJSSC4680WPA4VCNFH,Lemon Herb Quinoa,Food - Grains,Flavored Quinoa,3.49,1.047,13,0.11
INQ-887163,8/28/2024,In-Store,YL006843,Bradford,BD7,England,North West,01JZ3N5386GF97V9DCN4FSQ05Z,Almond Flour Pizza Crust,Food - Frozen Foods,Frozen Pizza Crusts,7.99,2.397,17,0.14
EPC-931737,12/23/2024,Online,YL065975,Kingston,DT10,England,East Midlands,01JZ3N51GB6BDR542KWQH4HB6P,Breathable Face Mask Set,Health,Safety & Protection,14.99,4.497,9,0.15
ZNW-604184,4/8/2024,In-Store,YC083120,Preston,PR1,England,East Midlands,01JZ3N513CABNBV3QR2YVXZ1SQ,Nutty Trail Mix,Food - Snacks,Healthy Snacks,4.29,1.287,15,0.24
MYO-440340,5/20/2024,Online,BT046086,Eaton,DN22,England,,01JZ3N50R3QEBK1XYP3FC0AMBH,Window A/C Unit,Home Appliances,Cooling Appliances,299.99,89.997,8,0.02
