Order ID,Order Date,Order Mode,Customer ID,Postal Code,City (Cleaned),Country (Cleaned),Region (Cleaned),Product ID,Product Name,Category,Segment,Sub-Category,Sales,Cost Price,Quantity,Discount,Total Sales,Total Cost Price,Net Profit,Profit Margin
YQH-596426,2023-01-01,In-Store,ET028434,CV35,Walton,England,West Midlands,01JZ3NC8PVSQJW2J8B75RKHRSK,Frozen Mixed Vegetables,Food , Frozen,Frozen Vegetables,1.14,0.10,10,0.39,11.40,0.97,10.43,0.91
JDP-252284,2023-01-01,Online,QE049300,GL54,Ford,England,South West,01JZ3NCF2BEE914G4J9TPM5JTG,Carrot Sticks,Food , Produce,Vegetable Snacks,1.74,0.50,3,0.01,5.22,1.49,3.73,0.71
AWH-860131,2023-01-01,In-Store,PN010412,B40,Birmingham,England,West Midlands,01JZ3N55JX79NVSRWTH1ACVZ43,Chickpea Flour,Food , Baking,Flours & Meals,2.29,0.44,4,0.08,9.16,1.75,7.41,0.81
HDF-411861,2023-01-01,Online,VN032443,NN4,Wootton,England,East Midlands,01JZ3NCC6RCGFZ9A3K2ZBBZ4AF,Black Bean & Corn Salad,Food , Salads,Vegetarian Salads,3.14,0.70,1,0.38,3.14,0.70,2.44,0.78
LPZ-134124,2023-01-01,Online,GU050689,LE14,Twyford,England,East Midlands,01JZ3NR27C8P42VRMSEJHF8Q4P,Weighted Jump Rope with Counter,Fitness,Fitness,Cardio Equipment,14.24,5.75,7,0.02,99.68,40.22,59.46,0.60
FZK-010637,2023-01-01,Online,DJ065927,AB56,Milton,Scotland,Scotland,01JZ3NQZK7YH2P6M47E6DA3ZR2,Silicone Baking Mat,Kitchen,Kitchen,Baking Accessories,15.14,5.90,4,0.28,60.56,23.58,36.98,0.61
NXJ-998297,2023-01-01,Online,GP080695,SN13,Ashley,England,South West,01JZ3NR3P3AKWVC8CX5YVND61Y,Classic Leather Wallet,Clothing , Accessories,Wallets,34.24,13.75,18,0.04,616.32,247.43,368.89,0.60
KXE-132709,2023-01-01,Online,LH034480,SN13,Ashley,England,South West,01JZ3N529DT4GY4VV223EADGJZ,Electric Fondue Pot,Kitchen,Kitchen,Small Appliances,38.99,11.45,8,0.04,311.92,91.58,220.34,0.71
VWO-242085,2023-01-01,Online,UI094785,BD23,Thorpe,England,Yorkshire & the Humber,01JZ3N5AN1TW6NXF98MKZSD6Y2,Lightweight Travel Backpack,Travel,Travel,Travel Accessories,39.14,11.50,16,0.28,626.24,183.95,442.29,0.71
LYB-670759,2023-01-01,In-Store,SQ041732,BD23,Thorpe,England,Yorkshire & the Humber,01JZ3NCFG0QHZ1VCJPN7TXZQTN,Rechargeable Electric Screwdriver,Tools,Tools,Power Tools,39.24,11.75,18,0.07,706.32,211.45,494.87,0.70
