Postal Code,City,Country,Region
B12,Birmingham,England,West Midlands
B40,Birmingham,England,West Midlands
BD23,Thorpe,England,Yorkshire & the Humber
BD7,Bradford,England,Yorkshire & the Humber
BH21,East End,England,North West
BT66,Craigavon,Northern Ireland,Northern Ireland
BS14,Whitchurch,England,South West
PH43,Kinloch,Scotland,Scotland
BS37,Horton,England,South West
BS41,Bristol,England,South West
CB4,Church End,England,East of England
CH48,Wirral,England,North West
CT15,Sutton,England,South East
CT16,Buckland,England,South East
CV35,Walton,England,West Midlands
DL10,Whitwell,England,Yorkshire & the Humber
DL8,Carlton,England,Yorkshire & the Humber
DN21,Upton,England,East Midlands
DN22,Eaton,England,East Midlands
DN36,West End,England,East Midlands
DT10,Kingston,England,South West
EC1V,London,England,London
EC3M,London,England,London
GL54,Ford,England,South West
EH52,Burnside,Scotland,Scotland
GU32,Weston,England,South East
L33,Liverpool,England,North West
L74,Liverpool,England,North West
AB39,Aberdeen,Scotland,Scotland
LE14,Twyford,England,East Midlands
LE15,Seaton,England,East Midlands
LE16,Middleton,England,East Midlands
LN6,Stapleford,England,East Midlands
AB55,Tullich,Scotland,Scotland
KW10,Kirkton,Scotland,Scotland
LS6,Leeds,England,Yorkshire & the Humber
IV1,Newton,Scotland,Scotland
LS9,Halton,England,Yorkshire & the Humber
M14,Manchester,England,North West
M34,Denton,England,North West
N3,Church End,England,London
NE46,Newbiggin,England,North East
NG22,Milton,England,East Midlands
NG34,Newton,England,East Midlands
NN11,Norton,England,East Midlands
NN4,Wootton,England,East Midlands
NR29,Newport,England,East of England
NR34,Brampton,England,East of England
OX12,Charlton,England,South East
OX7,Dean,England,South East
PR1,Preston,England,North West
RG20,Newtown,England,South East
RH5,Sutton,England,South East
S1,Sheffield,England,Yorkshire and the Humber
SY4,Pentre,Wales,Wales
S33,Hope Valley,England,East Midlands
S8,Norton,England,Yorkshire and the Humber
AB56,Milton,Scotland,Scotland
SG4,Langley,England,East of England
SN1,Swindon,England,South West
SN13,Ashley,England,South West
EH9,Edinburgh,Scotland,Scotland
ST20,Marston,England,West Midlands
BT2,Belfast,Northern Ireland,Northern Ireland
SW19,Merton,England,London
SW1E,London,England,London
TF6,Aston,England,West Midlands
W1F,London,England,London
WC1B,London,England,London
WC2H,London,England,London
G4,Glasgow,Scotland,Scotland
WF9,Upton,England,Yorkshire & the Humber
